name,damage,energy,turns,category,type
Dragon Tail,14.0,8.0,2.0,Fast,Dragon
Dragon Breath,6.0,4.0,1.0,Fast,Dragon
Hidden Power Dragon,15.0,15.0,3.0,Fast,Dragon
Outrage,110.0,-50.0,8.0,Charge,Dragon
Outrage+,185.0,-100.0,8.0,Charge,Dragon
Outrage++,204.0,-100.0,8.0,Charge,Dragon
Outrage+++,222.0,-100.0,8.0,Charge,Dragon
Outrage++++,240.0,-100.0,8.0,Charge,Dragon
Draco Meteor,150.0,-100.0,7.0,Charge,Dragon
Breaking Swipe,45.0,-33.0,2.0,Charge,Dragon
Spacial Rend,160.0,-100.0,5.0,Charge,Dragon
Roar Of Time,160.0,-100.0,4.0,Charge,Dragon
Dragon Pulse,90.0,-50.0,7.0,Charge,Dragon
Dragon Claw,45.0,-33.0,3.0,Charge,Dragon
Twister,50.0,-33.0,6.0,Charge,Dragon
Dragon Energy,155.0,-50.0,7.0,Charge,Dragon
Clanging Scales,120.0,-100.0,7.0,Charge,Dragon
Dynamax Cannon,215.0,-100.0,3.0,Charge,Dragon
Glaive Rush,105.0,-50.0,4.0,Charge,Dragon
Fire Spin,13.0,9.0,2.0,Fast,Fire
Fire Fang,13.0,9.0,2.0,Fast,Fire
Hidden Power Fire,15.0,15.0,3.0,Fast,Fire
Incinerate,32.0,22.0,5.0,Fast,Fire
Ember,10.0,10.0,2.0,Fast,Fire
Fusion Flare,140.0,-100.0,4.0,Charge,Fire
Overheat,160.0,-100.0,8.0,Charge,Fire
Fire Blast,130.0,-100.0,8.0,Charge,Fire
Blast Burn,120.0,-50.0,7.0,Charge,Fire
Mystical Fire,60.0,-33.0,4.0,Charge,Fire
Mystical Fire+,140.0,-100.0,4.0,Charge,Fire
Mystical Fire++,154.0,-100.0,4.0,Charge,Fire
Mystical Fire+++,168.0,-100.0,4.0,Charge,Fire
Mystical Fire++++,182.0,-100.0,4.0,Charge,Fire
Magma Storm,75.0,-33.0,5.0,Charge,Fire
Torch Song,100.0,-50.0,7.0,Charge,Fire
Sacred Fire++,155.0,-100.0,5.0,Charge,Fire
Sacred Fire+,135.0,-100.0,5.0,Charge,Fire
Sacred Fire,120.0,-100.0,5.0,Charge,Fire
V-Create,105.0,-33.0,6.0,Charge,Fire
Techno Blast (Fire),120.0,-100.0,4.0,Charge,Fire
Blaze Kick,40.0,-33.0,2.0,Charge,Fire
Flame Burst,70.0,-50.0,5.0,Charge,Fire
Flame Charge,70.0,-33.0,8.0,Charge,Fire
Fire Punch,50.0,-33.0,4.0,Charge,Fire
Weather Ball (Fire),55.0,-33.0,3.0,Charge,Fire
Heat Wave,95.0,-100.0,6.0,Charge,Fire
Flamethrower,65.0,-50.0,4.0,Charge,Fire
Flame Wheel,55.0,-50.0,5.0,Charge,Fire
Mind Blown,130.0,-33.0,8.0,Charge,Fire
Pyro Ball,150.0,-100.0,4.0,Charge,Fire
Metal Claw,6.0,5.0,1.0,Fast,Steel
Hidden Power Steel,15.0,15.0,3.0,Fast,Steel
Steel Wing,14.0,8.0,2.0,Fast,Steel
Bullet Punch,10.0,11.0,2.0,Fast,Steel
Iron Tail,14.0,6.0,2.0,Fast,Steel
Metal Sound,4.0,6.0,1.0,Fast,Steel
Sunsteel Strike,230.0,-100.0,6.0,Charge,Steel
Behemoth Blade,200.0,-100.0,7.0,Charge,Steel
Behemoth Bash,125.0,-50.0,3.0,Charge,Steel
Meteor Mash,100.0,-50.0,5.0,Charge,Steel
Iron Head,60.0,-50.0,4.0,Charge,Steel
Heavy Slam,70.0,-50.0,4.0,Charge,Steel
