pokemon,move,category,elite
bulbasaur,Tackle,fast,0
bulbasaur,Vine Whip,fast,0
bulbasaur,Power Whip,charge,0
bulbasaur,Seed Bomb,charge,0
bulbasaur,Sludge Bomb,charge,0
shadow bulbasaur,Tackle,fast,0
shadow bulbasaur,Vine Whip,fast,0
shadow bulbasaur,Power Whip,charge,0
shadow bulbasaur,Seed Bomb,charge,0
shadow bulbasaur,Sludge Bomb,charge,0
ivysaur,Razor Leaf,fast,0
ivysaur,Vine Whip,fast,0
ivysaur,Power Whip,charge,0
ivysaur,Sludge Bomb,charge,0
ivysaur,Solar Beam,charge,0
shadow ivysaur,Razor Leaf,fast,0
shadow ivysaur,Vine Whip,fast,0
shadow ivysaur,Power Whip,charge,0
shadow ivysaur,Sludge Bomb,charge,0
shadow ivysaur,Solar Beam,charge,0
venusaur,Razor Leaf,fast,0
venusaur,Vine Whip,fast,0
venusaur,Frenzy Plant,charge,1
venusaur,Petal Blizzard,charge,0
venusaur,Sludge Bomb,charge,0
venusaur,Solar Beam,charge,0
venusaur,Sludge,charge,0
mega venusaur,Razor Leaf,fast,0
mega venusaur,Vine Whip,fast,0
mega venusaur,Frenzy Plant,charge,1
mega venusaur,Petal Blizzard,charge,0
mega venusaur,Sludge Bomb,charge,0
mega venusaur,Solar Beam,charge,0
mega venusaur,Sludge,charge,0
shadow venusaur,Razor Leaf,fast,0
shadow venusaur,Vine Whip,fast,0
shadow venusaur,Frenzy Plant,charge,1
shadow venusaur,Petal Blizzard,charge,0
shadow venusaur,Sludge Bomb,charge,0
shadow venusaur,Solar Beam,charge,0
shadow venusaur,Sludge,charge,0
charmander,Ember,fast,0
charmander,Scratch,fast,0
charmander,Flame Burst,charge,0
charmander,Flame Charge,charge,0
charmander,Flamethrower,charge,0
shadow charmander,Ember,fast,0
shadow charmander,Scratch,fast,0
shadow charmander,Flame Burst,charge,0
shadow charmander,Flame Charge,charge,0
shadow charmander,Flamethrower,charge,0
charmeleon,Ember,fast,0
charmeleon,Fire Fang,fast,0
charmeleon,Scratch,fast,1
charmeleon,Fire Punch,charge,0
charmeleon,Flame Burst,charge,0
charmeleon,Flamethrower,charge,0
shadow charmeleon,Ember,fast,0
shadow charmeleon,Fire Fang,fast,0
shadow charmeleon,Scratch,fast,0
shadow charmeleon,Fire Punch,charge,0
shadow charmeleon,Flame Burst,charge,0
shadow charmeleon,Flamethrower,charge,0
charizard,Air Slash,fast,0
charizard,Ember,fast,1
charizard,Fire Spin,fast,0
charizard,Wing Attack,fast,1
charizard,Dragon Breath,fast,1
charizard,Blast Burn,charge,1
charizard,Dragon Claw,charge,0
charizard,Fire Blast,charge,0
charizard,Flamethrower,charge,1
charizard,Overheat,charge,0
charizard,Air Cutter,charge,0
mega charizard x,Air Slash,fast,0
mega charizard x,Ember,fast,0
mega charizard x,Fire Spin,fast,0
mega charizard x,Wing Attack,fast,0
mega charizard x,Dragon Breath,fast,0
mega charizard x,Blast Burn,charge,1
mega charizard x,Dragon Claw,charge,0
mega charizard x,Fire Blast,charge,0
mega charizard x,Flamethrower,charge,0
mega charizard x,Overheat,charge,0
mega charizard x,Air Cutter,charge,0
mega charizard y,Air Slash,fast,0
mega charizard y,Ember,fast,0
mega charizard y,Fire Spin,fast,0
mega charizard y,Wing Attack,fast,0
mega charizard y,Dragon Breath,fast,0
mega charizard y,Blast Burn,charge,1
mega charizard y,Dragon Claw,charge,0
mega charizard y,Fire Blast,charge,0
mega charizard y,Flamethrower,charge,0
mega charizard y,Overheat,charge,0
mega charizard y,Air Cutter,charge,0
shadow charizard,Air Slash,fast,0
shadow charizard,Ember,fast,0
shadow charizard,Fire Spin,fast,0
shadow charizard,Wing Attack,fast,0
shadow charizard,Dragon Breath,fast,0
shadow charizard,Blast Burn,charge,1
shadow charizard,Dragon Claw,charge,0
shadow charizard,Fire Blast,charge,0
shadow charizard,Flamethrower,charge,0
shadow charizard,Overheat,charge,0
shadow charizard,Air Cutter,charge,0
squirtle,Bubble,fast,0
squirtle,Tackle,fast,0
squirtle,Aqua Jet,charge,0
squirtle,Aqua Tail,charge,0
squirtle,Water Pulse,charge,0
shadow squirtle,Bubble,fast,0
shadow squirtle,Tackle,fast,0
shadow squirtle,Aqua Jet,charge,0
shadow squirtle,Aqua Tail,charge,0
shadow squirtle,Water Pulse,charge,0
wartortle,Bite,fast,0
wartortle,Water Gun,fast,0
wartortle,Aqua Jet,charge,0
wartortle,Hydro Pump,charge,0
wartortle,Ice Beam,charge,0
shadow wartortle,Bite,fast,0
shadow wartortle,Water Gun,fast,0
shadow wartortle,Aqua Jet,charge,0
shadow wartortle,Hydro Pump,charge,0
shadow wartortle,Ice Beam,charge,0
blastoise,Bite,fast,0
blastoise,Water Gun,fast,0
blastoise,Rollout,fast,0
blastoise,Flash Cannon,charge,0
blastoise,Hydro Cannon,charge,1
blastoise,Hydro Pump,charge,0
blastoise,Ice Beam,charge,0
blastoise,Skull Bash,charge,0
mega blastoise,Bite,fast,0
mega blastoise,Water Gun,fast,0
mega blastoise,Rollout,fast,0
mega blastoise,Flash Cannon,charge,0
mega blastoise,Hydro Cannon,charge,1
mega blastoise,Hydro Pump,charge,0
mega blastoise,Ice Beam,charge,0
mega blastoise,Skull Bash,charge,0
shadow blastoise,Bite,fast,0
shadow blastoise,Water Gun,fast,0
shadow blastoise,Rollout,fast,0
shadow blastoise,Flash Cannon,charge,0
shadow blastoise,Hydro Cannon,charge,1
shadow blastoise,Hydro Pump,charge,0
shadow blastoise,Ice Beam,charge,0
shadow blastoise,Skull Bash,charge,0
butterfree,Bug Bite,fast,1
butterfree,Confusion,fast,0
butterfree,Struggle Bug,fast,0
butterfree,Bug Buzz,charge,0
butterfree,Psychic,charge,0
butterfree,Signal Beam,charge,0
shadow butterfree,Bug Bite,fast,0
shadow butterfree,Confusion,fast,0
shadow butterfree,Struggle Bug,fast,0
shadow butterfree,Bug Buzz,charge,0
shadow butterfree,Psychic,charge,0
shadow butterfree,Signal Beam,charge,0
beedrill,Bug Bite,fast,1
beedrill,Infestation,fast,0
beedrill,Poison Jab,fast,0
beedrill,Poison Sting,fast,0
beedrill,Aerial Ace,charge,0
beedrill,Sludge Bomb,charge,0
beedrill,X-Scissor,charge,0
beedrill,Fell Stinger,charge,0
beedrill,Drill Run,charge,1
mega beedrill,Bug Bite,fast,0
mega beedrill,Infestation,fast,0
mega beedrill,Poison Jab,fast,0
mega beedrill,Poison Sting,fast,0
mega beedrill,Aerial Ace,charge,0
mega beedrill,Sludge Bomb,charge,0
mega beedrill,X-Scissor,charge,0
mega beedrill,Fell Stinger,charge,0
mega beedrill,Drill Run,charge,0
shadow beedrill,Bug Bite,fast,0
shadow beedrill,Infestation,fast,0
shadow beedrill,Poison Jab,fast,0
shadow beedrill,Poison Sting,fast,0
shadow beedrill,Aerial Ace,charge,0
shadow beedrill,Sludge Bomb,charge,0
shadow beedrill,X-Scissor,charge,0
shadow beedrill,Fell Stinger,charge,0
shadow beedrill,Drill Run,charge,0
pidgey,Quick Attack,fast,0
pidgey,Tackle,fast,0
pidgey,Aerial Ace,charge,0
pidgey,Air Cutter,charge,0
pidgey,Twister,charge,0
shadow pidgey,Quick Attack,fast,0
shadow pidgey,Tackle,fast,0
shadow pidgey,Aerial Ace,charge,0
shadow pidgey,Air Cutter,charge,0
shadow pidgey,Twister,charge,0
pidgeotto,Steel Wing,fast,0
pidgeotto,Wing Attack,fast,0
pidgeotto,Aerial Ace,charge,0
pidgeotto,Air Cutter,charge,0
pidgeotto,Twister,charge,0
shadow pidgeotto,Steel Wing,fast,0
shadow pidgeotto,Wing Attack,fast,0
shadow pidgeotto,Aerial Ace,charge,0
shadow pidgeotto,Air Cutter,charge,0
shadow pidgeotto,Twister,charge,0
pidgeot,Air Slash,fast,0
pidgeot,Steel Wing,fast,0
pidgeot,Wing Attack,fast,1
pidgeot,Gust,fast,1
pidgeot,Aerial Ace,charge,0
pidgeot,Air Cutter,charge,1
pidgeot,Brave Bird,charge,0
pidgeot,Hurricane,charge,0
pidgeot,Feather Dance,charge,0
pidgeot,Heat Wave,charge,0
pidgeot,Twister,charge,0
mega pidgeot,Air Slash,fast,0
mega pidgeot,Steel Wing,fast,0
mega pidgeot,Wing Attack,fast,0
mega pidgeot,Gust,fast,0
mega pidgeot,Aerial Ace,charge,0
mega pidgeot,Air Cutter,charge,0
mega pidgeot,Brave Bird,charge,0
mega pidgeot,Hurricane,charge,0
mega pidgeot,Feather Dance,charge,0
mega pidgeot,Heat Wave,charge,0
mega pidgeot,Twister,charge,0
shadow pidgeot,Air Slash,fast,0
shadow pidgeot,Steel Wing,fast,0
shadow pidgeot,Wing Attack,fast,0
shadow pidgeot,Gust,fast,0
shadow pidgeot,Aerial Ace,charge,0
shadow pidgeot,Air Cutter,charge,0
shadow pidgeot,Brave Bird,charge,0
shadow pidgeot,Hurricane,charge,0
shadow pidgeot,Feather Dance,charge,0
shadow pidgeot,Heat Wave,charge,0
shadow pidgeot,Twister,charge,0
rattata,Quick Attack,fast,0
rattata,Tackle,fast,0
rattata,Body Slam,charge,0
rattata,Dig,charge,0
rattata,Hyper Fang,charge,0
alolan rattata,Quick Attack,fast,0
alolan rattata,Tackle,fast,0
alolan rattata,Crunch,charge,0
alolan rattata,Hyper Fang,charge,0
alolan rattata,Shadow Ball,charge,0
shadow rattata,Quick Attack,fast,0
shadow rattata,Tackle,fast,0
shadow rattata,Body Slam,charge,0
shadow rattata,Dig,charge,0
shadow rattata,Hyper Fang,charge,0
raticate,Bite,fast,0
raticate,Quick Attack,fast,0
raticate,Dig,charge,0
raticate,Hyper Beam,charge,0
raticate,Hyper Fang,charge,0
alolan raticate,Bite,fast,0
alolan raticate,Quick Attack,fast,0
alolan raticate,Crunch,charge,0
alolan raticate,Hyper Beam,charge,0
alolan raticate,Hyper Fang,charge,0
shadow raticate,Bite,fast,0
shadow raticate,Quick Attack,fast,0
shadow raticate,Dig,charge,0
shadow raticate,Hyper Beam,charge,0
shadow raticate,Hyper Fang,charge,0
spearow,Peck,fast,0
spearow,Quick Attack,fast,0
spearow,Aerial Ace,charge,0
spearow,Drill Peck,charge,0
spearow,Sky Attack,charge,0
spearow,Twister,charge,1
fearow,Peck,fast,0
fearow,Steel Wing,fast,0
fearow,Aerial Ace,charge,0
fearow,Drill Run,charge,0
fearow,Sky Attack,charge,0
fearow,Twister,charge,1
fearow,Fly,charge,0
fearow,Drill Peck,charge,0
ekans,Acid,fast,0
ekans,Poison Sting,fast,0
ekans,Gunk Shot,charge,1
ekans,Poison Fang,charge,0
ekans,Sludge Bomb,charge,0
ekans,Wrap,charge,0
shadow ekans,Acid,fast,0
shadow ekans,Poison Sting,fast,0
shadow ekans,Gunk Shot,charge,0
shadow ekans,Poison Fang,charge,0
shadow ekans,Sludge Bomb,charge,0
shadow ekans,Wrap,charge,0
arbok,Acid,fast,0
arbok,Bite,fast,0
arbok,Dragon Tail,fast,0
arbok,Poison Sting,fast,0
arbok,Dark Pulse,charge,0
arbok,Gunk Shot,charge,0
arbok,Sludge Wave,charge,0
arbok,Acid Spray,charge,0
shadow arbok,Acid,fast,0
shadow arbok,Bite,fast,0
shadow arbok,Dragon Tail,fast,0
shadow arbok,Poison Sting,fast,0
shadow arbok,Dark Pulse,charge,0
shadow arbok,Gunk Shot,charge,0
shadow arbok,Sludge Wave,charge,0
shadow arbok,Acid Spray,charge,0
pikachu,Present,fast,1
pikachu,Quick Attack,fast,0
pikachu,Thunder Shock,fast,0
pikachu,Discharge,charge,0
pikachu,Surf,charge,1
pikachu,Thunder,charge,1
pikachu,Thunderbolt,charge,0
pikachu,Wild Charge,charge,0
pikachu 5th anniversary,Thunder Shock,fast,0
pikachu 5th anniversary,Quick Attack,fast,0
pikachu 5th anniversary,Present,fast,0
pikachu 5th anniversary,Discharge,charge,0
pikachu 5th anniversary,Thunderbolt,charge,0
pikachu 5th anniversary,Wild Charge,charge,0
pikachu 5th anniversary,Fly,charge,0
pikachu flying,Quick Attack,fast,0
pikachu flying,Thunder Shock,fast,0
pikachu flying,Discharge,charge,0
pikachu flying,Thunderbolt,charge,0
pikachu flying,Wild Charge,charge,0
pikachu flying,Fly,charge,0
pikachu horizons,Thunder Shock,fast,0
pikachu horizons,Quick Attack,fast,0
pikachu horizons,Discharge,charge,0
pikachu horizons,Thunderbolt,charge,0
pikachu horizons,Wild Charge,charge,0
pikachu horizons,Volt Tackle,charge,0
pikachu kariyushi,Thunder Shock,fast,0
pikachu kariyushi,Quick Attack,fast,0
pikachu kariyushi,Discharge,charge,0
pikachu kariyushi,Thunderbolt,charge,0
pikachu kariyushi,Wild Charge,charge,0
pikachu libre,Thunder Shock,fast,0
pikachu libre,Charm,fast,0
pikachu libre,Flying Press,charge,0
pikachu libre,Play Rough,charge,0
pikachu libre,Thunder Punch,charge,0
pikachu pop star,Thunder Shock,fast,0
pikachu pop star,Charm,fast,0
pikachu pop star,Draining Kiss,charge,0
pikachu pop star,Thunder Punch,charge,0
pikachu pop star,Play Rough,charge,0
pikachu rock star,Thunder Shock,fast,0
pikachu rock star,Charm,fast,0
pikachu rock star,Meteor Mash,charge,0
pikachu rock star,Thunder Punch,charge,0
pikachu rock star,Play Rough,charge,0
pikachu shaymin,Present,fast,0
pikachu shaymin,Quick Attack,fast,0
pikachu shaymin,Thunder Shock,fast,0
pikachu shaymin,Discharge,charge,0
pikachu shaymin,Surf,charge,0
pikachu shaymin,Thunder,charge,0
pikachu shaymin,Thunderbolt,charge,0
pikachu shaymin,Wild Charge,charge,0
pikachu shaymin,Grass Knot,charge,0
raichu,Spark,fast,0
raichu,Thunder Shock,fast,0
raichu,Volt Switch,fast,0
raichu,Charm,fast,0
raichu,Brick Break,charge,0
raichu,Thunder,charge,1
raichu,Thunder Punch,charge,0
raichu,Wild Charge,charge,0
raichu,Skull Bash,charge,0
raichu,Trailblaze,charge,0
raichu,Surf,charge,0
alolan raichu,Spark,fast,0
alolan raichu,Volt Switch,fast,0
alolan raichu,Thunder Shock,fast,0
alolan raichu,Psychic,charge,0
alolan raichu,Thunder Punch,charge,0
alolan raichu,Wild Charge,charge,0
alolan raichu,Grass Knot,charge,0
alolan raichu,Trailblaze,charge,0
alolan raichu,Surf,charge,0
alolan raichu,Psyshock,charge,0
mega raichu x,Spark,fast,0
mega raichu x,Thunder Shock,fast,0
mega raichu x,Volt Switch,fast,0
mega raichu x,Charm,fast,0
mega raichu x,Brick Break,charge,0
mega raichu x,Thunder,charge,0
mega raichu x,Thunder Punch,charge,0
mega raichu x,Wild Charge,charge,0
mega raichu x,Skull Bash,charge,0
mega raichu x,Trailblaze,charge,0
mega raichu x,Surf,charge,0
mega raichu x,Volt Tackle+,charge,1
mega raichu y,Spark,fast,0
mega raichu y,Thunder Shock,fast,0
mega raichu y,Volt Switch,fast,0
mega raichu y,Charm,fast,0
mega raichu y,Brick Break,charge,0
mega raichu y,Thunder,charge,0
mega raichu y,Thunder Punch,charge,0
mega raichu y,Wild Charge,charge,0
mega raichu y,Skull Bash,charge,0
mega raichu y,Trailblaze,charge,0
mega raichu y,Surf,charge,0
mega raichu y,Zap Cannon+,charge,1
sandshrew,Mud Shot,fast,0
sandshrew,Scratch,fast,0
sandshrew,Sand Attack,fast,0
sandshrew,Dig,charge,0
sandshrew,Rock Slide,charge,0
sandshrew,Rock Tomb,charge,1
sandshrew,Sand Tomb,charge,0
alolan sandshrew,Metal Claw,fast,0
alolan sandshrew,Powder Snow,fast,0
alolan sandshrew,Blizzard,charge,0
alolan sandshrew,Gyro Ball,charge,0
alolan sandshrew,Night Slash,charge,0
shadow sandshrew,Mud Shot,fast,0
shadow sandshrew,Scratch,fast,0
shadow sandshrew,Sand Attack,fast,0
shadow sandshrew,Dig,charge,0
shadow sandshrew,Rock Slide,charge,0
shadow sandshrew,Rock Tomb,charge,0
shadow sandshrew,Sand Tomb,charge,0
sandslash,Metal Claw,fast,0
sandslash,Mud Shot,fast,0
sandslash,Sand Attack,fast,0
sandslash,Bulldoze,charge,0
sandslash,Earthquake,charge,0
sandslash,Rock Tomb,charge,0
sandslash,Night Slash,charge,1
sandslash,Scorching Sands,charge,0
alolan sandslash,Metal Claw,fast,0
alolan sandslash,Powder Snow,fast,0
alolan sandslash,Shadow Claw,fast,0
alolan sandslash,Blizzard,charge,0
alolan sandslash,Bulldoze,charge,0
alolan sandslash,Gyro Ball,charge,0
alolan sandslash,Ice Punch,charge,0
alolan sandslash,Drill Run,charge,0
alolan sandslash,Aerial Ace,charge,0
shadow sandslash,Metal Claw,fast,0
shadow sandslash,Mud Shot,fast,0
shadow sandslash,Sand Attack,fast,0
shadow sandslash,Bulldoze,charge,0
shadow sandslash,Earthquake,charge,0
shadow sandslash,Rock Tomb,charge,0
shadow sandslash,Night Slash,charge,0
shadow sandslash,Scorching Sands,charge,0
nidoran female,Bite,fast,0
nidoran female,Poison Sting,fast,0
