name,hp,atk,def,type1,type2
Bulbasaur,128,118,111,Grass,Poison
Ivysaur,155,151,143,Grass,Poison
Venusaur,190,198,189,Grass,Poison
Mega Venusaur,190,241,246,Grass,Poison
Charmander,118,116,93,Fire,
Charmeleon,151,158,126,Fire,
Charizard,186,223,173,Fire,Flying
Mega Charizard X,186,273,213,Fire,Dragon
Mega Charizard Y,186,319,212,Fire,Flying
Squirtle,127,94,121,Water,
Wartortle,153,126,155,Water,
Blastoise,188,171,207,Water,
Mega Blastoise,188,264,237,Water,
Caterpie,128,55,55,Bug,
Metapod,137,45,80,Bug,
Butterfree,155,167,137,Bug,Flying
Weedle,120,63,50,Bug,Poison
Kakuna,128,46,75,Bug,Poison
Beedrill,163,169,130,Bug,Poison
Mega Beedrill,163,303,148,Bug,Poison
Pidgey,120,85,73,Normal,Flying
Pidgeotto,160,117,105,Normal,Flying
Pidgeot,195,166,154,Normal,Flying
Mega Pidgeot,195,280,175,Normal,Flying
Rattata,102,103,70,Normal,
Alolan Rattata,102,103,70,,
Raticate,146,161,139,Normal,
Alolan Raticate,181,135,154,,
Spearow,120,112,60,Normal,Flying
Fearow,163,182,133,Normal,Flying
Ekans,111,110,97,Poison,
Arbok,155,167,153,Poison,
Pikachu,111,112,96,Electric,
Raichu,155,193,151,Electric,
Alolan Raichu,155,201,154,Electric,Psychic
Mega Raichu X,155,277,203,Electric,
Mega Raichu Y,155,339,157,Electric,
Sandshrew,137,126,120,Ground,
Alolan Sandshrew,137,125,129,,
Sandslash,181,182,175,Ground,
Alolan Sandslash,181,177,195,Ice,Steel
Nidoran♀,146,86,89,Poison,
Nidorina,172,117,120,Poison,
Nidoqueen,207,180,173,Poison,Ground
Nidoran♂,130,105,76,Poison,
Nidorino,156,137,111,Poison,
Nidoking,191,204,156,Poison,Ground
Clefairy,172,107,108,Fairy,
Clefable,216,178,162,Fairy,
Mega Clefable,216,253,205,Fairy,Flying
Vulpix,116,96,109,Fire,
Alolan Vulpix,116,96,109,,
Ninetales,177,169,190,Fire,
Alolan Ninetales,177,170,193,Ice,Fairy
Jigglypuff,251,80,41,Normal,Fairy
Wigglytuff,295,156,90,Normal,Fairy
Zubat,120,83,73,Poison,Flying
Golbat,181,161,150,Poison,Flying
Oddish,128,131,112,Grass,Poison
Gloom,155,153,136,Grass,Poison
Vileplume,181,202,167,Grass,Poison
Paras,111,121,99,Bug,Grass
Parasect,155,165,146,Bug,Grass
Venonat,155,100,100,Bug,Poison
Venomoth,172,179,143,Bug,Poison
Diglett,67,109,78,Ground,
Alolan Diglett,67,108,81,,
Dugtrio,111,167,136,Ground,
Alolan Dugtrio,111,201,142,,
Meowth,120,92,78,Normal,
Alolan Meowth,120,99,78,,
Galarian Meowth,137,115,92,,
Persian,163,150,136,Normal,
Alolan Persian,163,158,136,Dark,
Psyduck,137,122,95,Water,
Golduck,190,191,162,Water,
Mankey,120,148,82,Fighting,
Primeape,163,207,138,Fighting,
Growlithe,146,136,93,Fire,
Hisuian Growlithe,155,142,92,,
Arcanine,207,227,166,Fire,
Hisuian Arcanine,216,232,165,,
Poliwag,120,101,82,Water,
Poliwhirl,163,130,123,Water,
Poliwrath,207,182,184,Water,Fighting
Abra,93,195,82,Psychic,
Kadabra,120,232,117,Psychic,
Alakazam,146,271,167,Psychic,
Mega Alakazam,146,367,207,Psychic,
Machop,172,137,82,Fighting,
Machoke,190,177,125,Fighting,
Machamp,207,234,159,Fighting,
Bellsprout,137,139,61,Grass,Poison
Weepinbell,163,172,92,Grass,Poison
Victreebel,190,207,135,Grass,Poison
Mega Victreebel,190,265,181,Grass,Poison
Tentacool,120,97,149,Water,Poison
