Rank,Description,,,,,,,,
Apex, "Gods of all raid attackers, creating wide spread powercreep",,,,,,,,
S+++,"Best in its class and in other classes, wide spread coverage, absolutely absurd innate DPS. Top 0.05% of DPS",,,,,,,,
S++,"Best in its class and sometimes in other classes, wide spread coverage, top 0.1% of DPS ceiling",,,,,,,,
S+,Best in its class. High Coverage. Can sometimes be flexed into different roles. Top 0.5% of DPS ceiling,,,,,,,,
S,Top 3 in its class. High Coverage. Best or near the best in its role. Top 1-5% of DPS ceiling,,,,,,,,
A,"Top 5 in its class. Medium Coverage. A good substitute if ideal counters are missing, various flexibility Top 5-10% of DPS ceiling",,,,,,,,
B,"Top 10 in its class. Medium-Low Coverage. A good substitute if ideal counters are missing, sometimes used only in niche situations or lower tier raids. Top 10-15% of DPS ceiling",,,,,,,,
C,"A decent budget option, may have small niches here and there. Can be seen commonly in lower level raids where pool is larger. Top 15-20% of DPS ",,,,,,,,
Type,Tier,Pokemon,Role,Fast Move,Fast Move 2,Charge Move,Charge Move 2,Charge Move 3,Notes
Ice,S+++,Kyurem Black,Catch Tank,Dragon Tail,Shadow Claw,Freeze Shock,,,Arguably most versatile catch tank in the game
Ice,S++,Mega Froslass,Main DPS,Powder Snow,,Weather Ball++++,,,
Ice,S+,Kyurem White,Main DPS,Ice Fang,,Ice Burn,,,
Ice,A,Mega Mewtwo Y,Support DPS,Psycho Cut,,Ice Beam,,,
Ice,B,Shadow Mamoswine,Support DPS,Powder Snow,,Avalanche,,,
Ice,C,Shadow Weavile,Support DPS,Ice Shard,,Avalanche,,,
Electric,S++,Mega Raichu Y,Main DPS,Thunder Shock,,Zap Cannon++++,Wild Charge,Thunder Punch,Best Electric attacker in the game
Electric,S+,Shadow Zekrom,Catch Tank,Charge Beam,,Fusion Bolt,,,
Electric,S,Regieleki,Catch Tank,Lock On,,Thunder Cage,,,Strongest Electric Catch Tank in most situations.
Electric,A,Mega Raichu X,Main DPS,Volt Switch,,Volt Tackle++++,Wild Charge,,
Electric,A,Zeraora,Support DPS,Volt Switch,,Plasma Fists,,,
Electric,B,Xurkitree,Support DPS,Thunder Shock,,Discharge,,,
Electric,C,Zekrom,Support DPS,Charge Beam,,Fusion Bolt,,,
Rock,S+,Shadow Regigigas,"Main DPS, Catch Tank",Hidden Power Rock,,Crush Grip,,,
Rock,S,Shadow Rampardos,"Executor, Support DPS",Smack Down,,Rock Slide,,,
Rock,S,Shadow Tyrantrum,Catch Tank,Rock Throw,,Meteor Beam,,,
Rock,A,Mega Diancie,Support DPS,Rock Throw,,Rock Slide,,,
Rock,A,Shadow Rhyperior,Catch Tank,Smack Down,,Rock Wrecker,,,
Rock,B,Shadow Gigalith,Support DPS,Lock On,Smack Down,Meteor Beam,,,
Rock,C,Shadow Tyranitar,Support DPS,Smack Down,,Stone Edge,,,
