pokemon,move_to_remove,reason
venusaur,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
charmeleon,Scratch,Elite TM exclusive - not obtainable by a real raid boss
charizard,Ember,Elite TM exclusive - not obtainable by a real raid boss
charizard,Wing Attack,Elite TM exclusive - not obtainable by a real raid boss
charizard,Dragon Breath,Elite TM exclusive - not obtainable by a real raid boss
charizard,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
charizard,Flamethrower,Elite TM exclusive - not obtainable by a real raid boss
blastoise,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
butterfree,Bug Bite,Elite TM exclusive - not obtainable by a real raid boss
beedrill,Bug Bite,Elite TM exclusive - not obtainable by a real raid boss
beedrill,Drill Run,Elite TM exclusive - not obtainable by a real raid boss
pidgeot,Wing Attack,Elite TM exclusive - not obtainable by a real raid boss
pidgeot,Gust,Elite TM exclusive - not obtainable by a real raid boss
pidgeot,Air Cutter,Elite TM exclusive - not obtainable by a real raid boss
spearow,Twister,Elite TM exclusive - not obtainable by a real raid boss
fearow,Twister,Elite TM exclusive - not obtainable by a real raid boss
ekans,Gunk Shot,Elite TM exclusive - not obtainable by a real raid boss
pikachu,Present,Elite TM exclusive - not obtainable by a real raid boss
pikachu,Surf,Elite TM exclusive - not obtainable by a real raid boss
pikachu,Thunder,Elite TM exclusive - not obtainable by a real raid boss
raichu,Thunder,Elite TM exclusive - not obtainable by a real raid boss
sandshrew,Rock Tomb,Elite TM exclusive - not obtainable by a real raid boss
sandslash,Night Slash,Elite TM exclusive - not obtainable by a real raid boss
nidoking,Fury Cutter,Elite TM exclusive - not obtainable by a real raid boss
clefable,Pound,Elite TM exclusive - not obtainable by a real raid boss
ninetales,Ember,Elite TM exclusive - not obtainable by a real raid boss
ninetales,Fire Blast,Elite TM exclusive - not obtainable by a real raid boss
ninetales,Flamethrower,Elite TM exclusive - not obtainable by a real raid boss
jigglypuff,Play Rough,Elite TM exclusive - not obtainable by a real raid boss
jigglypuff,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
zubat,Sludge Bomb,Elite TM exclusive - not obtainable by a real raid boss
golbat,Ominous Wind,Elite TM exclusive - not obtainable by a real raid boss
parasect,Bug Bite,Elite TM exclusive - not obtainable by a real raid boss
venomoth,Bug Bite,Elite TM exclusive - not obtainable by a real raid boss
meowth,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
persian,Night Slash,Elite TM exclusive - not obtainable by a real raid boss
primeape,Karate Chop,Elite TM exclusive - not obtainable by a real raid boss
primeape,Cross Chop,Elite TM exclusive - not obtainable by a real raid boss
primeape,Rage Fist,Elite TM exclusive - not obtainable by a real raid boss
arcanine,Bite,Elite TM exclusive - not obtainable by a real raid boss
arcanine,Bulldoze,Elite TM exclusive - not obtainable by a real raid boss
poliwhirl,Scald,Elite TM exclusive - not obtainable by a real raid boss
poliwrath,Counter,Elite TM exclusive - not obtainable by a real raid boss
poliwrath,Submission,Elite TM exclusive - not obtainable by a real raid boss
alakazam,Counter,Elite TM exclusive - not obtainable by a real raid boss
alakazam,Dazzling Gleam,Elite TM exclusive - not obtainable by a real raid boss
alakazam,Psychic,Elite TM exclusive - not obtainable by a real raid boss
machop,Low Kick,Elite TM exclusive - not obtainable by a real raid boss
machoke,Cross Chop,Elite TM exclusive - not obtainable by a real raid boss
machamp,Karate Chop,Elite TM exclusive - not obtainable by a real raid boss
machamp,Stone Edge,Elite TM exclusive - not obtainable by a real raid boss
machamp,Submission,Elite TM exclusive - not obtainable by a real raid boss
machamp,Payback,Elite TM exclusive - not obtainable by a real raid boss
weepinbell,Razor Leaf,Elite TM exclusive - not obtainable by a real raid boss
victreebel,Magical Leaf,Elite TM exclusive - not obtainable by a real raid boss
graveler,Rock Slide,Elite TM exclusive - not obtainable by a real raid boss
ponyta,Fire Blast,Elite TM exclusive - not obtainable by a real raid boss
rapidash,Ember,Elite TM exclusive - not obtainable by a real raid boss
rapidash,Wild Charge,Elite TM exclusive - not obtainable by a real raid boss
slowbro,Surf,Elite TM exclusive - not obtainable by a real raid boss
farfetchd,Cut,Elite TM exclusive - not obtainable by a real raid boss
doduo,Swift,Elite TM exclusive - not obtainable by a real raid boss
dodrio,Air Cutter,Elite TM exclusive - not obtainable by a real raid boss
seel,Water Gun,Elite TM exclusive - not obtainable by a real raid boss
seel,Aqua Jet,Elite TM exclusive - not obtainable by a real raid boss
dewgong,Ice Shard,Elite TM exclusive - not obtainable by a real raid boss
dewgong,Aqua Jet,Elite TM exclusive - not obtainable by a real raid boss
dewgong,Icy Wind,Elite TM exclusive - not obtainable by a real raid boss
muk,Lick,Elite TM exclusive - not obtainable by a real raid boss
cloyster,Blizzard,Elite TM exclusive - not obtainable by a real raid boss
gastly,Sucker Punch,Elite TM exclusive - not obtainable by a real raid boss
gastly,Ominous Wind,Elite TM exclusive - not obtainable by a real raid boss
haunter,Lick,Elite TM exclusive - not obtainable by a real raid boss
gengar,Lick,Elite TM exclusive - not obtainable by a real raid boss
gengar,Sludge Wave,Elite TM exclusive - not obtainable by a real raid boss
gengar,Dark Pulse,Elite TM exclusive - not obtainable by a real raid boss
gengar,Psychic,Elite TM exclusive - not obtainable by a real raid boss
gengar,Shadow Punch,Elite TM exclusive - not obtainable by a real raid boss
onix,Iron Head,Elite TM exclusive - not obtainable by a real raid boss
onix,Rock Slide,Elite TM exclusive - not obtainable by a real raid boss
hypno,Psyshock,Elite TM exclusive - not obtainable by a real raid boss
kingler,Mud Shot,Elite TM exclusive - not obtainable by a real raid boss
voltorb,Signal Beam,Elite TM exclusive - not obtainable by a real raid boss
electrode,Tackle,Elite TM exclusive - not obtainable by a real raid boss
exeggutor,Zen Headbutt,Elite TM exclusive - not obtainable by a real raid boss
hitmonlee,Stomp,Elite TM exclusive - not obtainable by a real raid boss
hitmonlee,Brick Break,Elite TM exclusive - not obtainable by a real raid boss
hitmonchan,Rock Smash,Elite TM exclusive - not obtainable by a real raid boss
hitmonchan,Brick Break,Elite TM exclusive - not obtainable by a real raid boss
lickitung,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
rhydon,Megahorn,Elite TM exclusive - not obtainable by a real raid boss
tangela,Power Whip,Elite TM exclusive - not obtainable by a real raid boss
kangaskhan,Brick Break,Elite TM exclusive - not obtainable by a real raid boss
kangaskhan,Stomp,Elite TM exclusive - not obtainable by a real raid boss
seadra,Blizzard,Elite TM exclusive - not obtainable by a real raid boss
seaking,Poison Jab,Elite TM exclusive - not obtainable by a real raid boss
seaking,Icy Wind,Elite TM exclusive - not obtainable by a real raid boss
seaking,Drill Run,Elite TM exclusive - not obtainable by a real raid boss
starmie,Tackle,Elite TM exclusive - not obtainable by a real raid boss
scyther,Steel Wing,Elite TM exclusive - not obtainable by a real raid boss
scyther,Bug Buzz,Elite TM exclusive - not obtainable by a real raid boss
jynx,Pound,Elite TM exclusive - not obtainable by a real raid boss
jynx,Ice Punch,Elite TM exclusive - not obtainable by a real raid boss
pinsir,Submission,Elite TM exclusive - not obtainable by a real raid boss
gyarados,Dragon Tail,Elite TM exclusive - not obtainable by a real raid boss
gyarados,Dragon Pulse,Elite TM exclusive - not obtainable by a real raid boss
gyarados,Aqua Tail,Elite TM exclusive - not obtainable by a real raid boss
lapras,Ice Shard,Elite TM exclusive - not obtainable by a real raid boss
lapras,Dragon Pulse,Elite TM exclusive - not obtainable by a real raid boss
lapras,Ice Beam,Elite TM exclusive - not obtainable by a real raid boss
eevee,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
eevee,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
vaporeon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
vaporeon,Scald,Elite TM exclusive - not obtainable by a real raid boss
jolteon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
jolteon,Zap Cannon,Elite TM exclusive - not obtainable by a real raid boss
flareon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
flareon,Heat Wave,Elite TM exclusive - not obtainable by a real raid boss
flareon,Superpower,Elite TM exclusive - not obtainable by a real raid boss
porygon,Tackle,Elite TM exclusive - not obtainable by a real raid boss
porygon,Zen Headbutt,Elite TM exclusive - not obtainable by a real raid boss
porygon,Signal Beam,Elite TM exclusive - not obtainable by a real raid boss
porygon,Psybeam,Elite TM exclusive - not obtainable by a real raid boss
porygon,Discharge,Elite TM exclusive - not obtainable by a real raid boss
omanyte,Rock Tomb,Elite TM exclusive - not obtainable by a real raid boss
omanyte,Brine,Elite TM exclusive - not obtainable by a real raid boss
omastar,Rock Throw,Elite TM exclusive - not obtainable by a real raid boss
omastar,Rock Slide,Elite TM exclusive - not obtainable by a real raid boss
kabutops,Fury Cutter,Elite TM exclusive - not obtainable by a real raid boss
snorlax,Yawn,Elite TM exclusive - not obtainable by a real raid boss
articuno,Hurricane,Elite TM exclusive - not obtainable by a real raid boss
zapdos,Thunder Shock,Elite TM exclusive - not obtainable by a real raid boss
moltres,Sky Attack,Elite TM exclusive - not obtainable by a real raid boss
dragonite,Draco Meteor,Elite TM exclusive - not obtainable by a real raid boss
dragonite,Dragon Pulse,Elite TM exclusive - not obtainable by a real raid boss
mewtwo,Psystrike,Elite TM exclusive - not obtainable by a real raid boss
mewtwo,Shadow Ball,Elite TM exclusive - not obtainable by a real raid boss
mewtwo,Hyper Beam,Elite TM exclusive - not obtainable by a real raid boss
meganium,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
typhlosion,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
feraligatr,Water Gun,Elite TM exclusive - not obtainable by a real raid boss
feraligatr,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
cleffa,Psychic,Elite TM exclusive - not obtainable by a real raid boss
cleffa,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
igglybuff,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
togepi,Zen Headbutt,Elite TM exclusive - not obtainable by a real raid boss
togetic,Steel Wing,Elite TM exclusive - not obtainable by a real raid boss
togetic,Zen Headbutt,Elite TM exclusive - not obtainable by a real raid boss
ampharos,Dragon Pulse,Elite TM exclusive - not obtainable by a real raid boss
politoed,Earthquake,Elite TM exclusive - not obtainable by a real raid boss
politoed,Ice Beam,Elite TM exclusive - not obtainable by a real raid boss
jumpluff,Acrobatics,Elite TM exclusive - not obtainable by a real raid boss
quagsire,Aqua Tail,Elite TM exclusive - not obtainable by a real raid boss
espeon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
espeon,Shadow Ball,Elite TM exclusive - not obtainable by a real raid boss
umbreon,Last Resort,Elite TM exclusive - not obtainable by a real raid boss
umbreon,Psychic,Elite TM exclusive - not obtainable by a real raid boss
slowking,Surf,Elite TM exclusive - not obtainable by a real raid boss
kingdra,Water Gun,Elite TM exclusive - not obtainable by a real raid boss
smoochum,Frost Breath,Elite TM exclusive - not obtainable by a real raid boss
elekid,Thunderbolt,Elite TM exclusive - not obtainable by a real raid boss
magby,Flamethrower,Elite TM exclusive - not obtainable by a real raid boss
blissey,Wild Charge,Elite TM exclusive - not obtainable by a real raid boss
tyranitar,Smack Down,Elite TM exclusive - not obtainable by a real raid boss
lugia,Aeroblast,Elite TM exclusive - not obtainable by a real raid boss
ho oh,Earthquake,Elite TM exclusive - not obtainable by a real raid boss
ho oh,Sacred Fire,Elite TM exclusive - not obtainable by a real raid boss
celebi,Magical Leaf,Elite TM exclusive - not obtainable by a real raid boss
sceptile,Frenzy Plant,Elite TM exclusive - not obtainable by a real raid boss
blaziken,Blast Burn,Elite TM exclusive - not obtainable by a real raid boss
blaziken,Stone Edge,Elite TM exclusive - not obtainable by a real raid boss
swampert,Hydro Cannon,Elite TM exclusive - not obtainable by a real raid boss
shiftry,Bullet Seed,Elite TM exclusive - not obtainable by a real raid boss
gardevoir,Synchronoise,Elite TM exclusive - not obtainable by a real raid boss
breloom,Grass Knot,Elite TM exclusive - not obtainable by a real raid boss
slaking,Body Slam,Elite TM exclusive - not obtainable by a real raid boss
shedinja,Struggle Bug,Elite TM exclusive - not obtainable by a real raid boss
flygon,Earth Power,Elite TM exclusive - not obtainable by a real raid boss
altaria,Moonblast,Elite TM exclusive - not obtainable by a real raid boss
absol,Brutal Swing,Elite TM exclusive - not obtainable by a real raid boss
walrein,Powder Snow,Elite TM exclusive - not obtainable by a real raid boss
