pokemon,move
venusaur,Frenzy Plant
charmeleon,Scratch
charizard,Ember
charizard,Wing Attack
charizard,Dragon Breath
charizard,Blast Burn
charizard,Flamethrower
blastoise,Hydro Cannon
butterfree,Bug Bite
beedrill,Bug Bite
beedrill,Drill Run
pidgeot,Wing Attack
pidgeot,Gust
pidgeot,Air Cutter
spearow,Twister
fearow,Twister
ekans,Gunk Shot
pikachu,Present
pikachu,Surf
pikachu,Thunder
raichu,Thunder
sandshrew,Rock Tomb
sandslash,Night Slash
nidoking,Fury Cutter
clefable,Pound
ninetales,Ember
ninetales,Fire Blast
ninetales,Flamethrower
jigglypuff,Play Rough
jigglypuff,Body Slam
zubat,Sludge Bomb
golbat,Ominous Wind
parasect,Bug Bite
venomoth,Bug Bite
meowth,Body Slam
persian,Night Slash
primeape,Karate Chop
primeape,Cross Chop
primeape,Rage Fist
arcanine,Bite
arcanine,Bulldoze
poliwhirl,Scald
poliwrath,Counter
poliwrath,Submission
alakazam,Counter
alakazam,Dazzling Gleam
alakazam,Psychic
machop,Low Kick
machoke,Cross Chop
machamp,Karate Chop
machamp,Stone Edge
machamp,Submission
machamp,Payback
weepinbell,Razor Leaf
victreebel,Magical Leaf
graveler,Rock Slide
ponyta,Fire Blast
rapidash,Ember
rapidash,Wild Charge
slowbro,Surf
farfetchd,Cut
doduo,Swift
dodrio,Air Cutter
seel,Water Gun
seel,Aqua Jet
dewgong,Ice Shard
dewgong,Aqua Jet
dewgong,Icy Wind
muk,Lick
cloyster,Blizzard
gastly,Sucker Punch
gastly,Ominous Wind
haunter,Lick
gengar,Lick
gengar,Sludge Wave
gengar,Dark Pulse
gengar,Psychic
gengar,Shadow Punch
onix,Iron Head
onix,Rock Slide
hypno,Psyshock
kingler,Mud Shot
voltorb,Signal Beam
electrode,Tackle
exeggutor,Zen Headbutt
hitmonlee,Stomp
hitmonlee,Brick Break
hitmonchan,Rock Smash
hitmonchan,Brick Break
lickitung,Body Slam
rhydon,Megahorn
tangela,Power Whip
kangaskhan,Brick Break
kangaskhan,Stomp
seadra,Blizzard
seaking,Poison Jab
seaking,Icy Wind
seaking,Drill Run
starmie,Tackle
scyther,Steel Wing
scyther,Bug Buzz
jynx,Pound
jynx,Ice Punch
pinsir,Submission
gyarados,Dragon Tail
gyarados,Dragon Pulse
gyarados,Aqua Tail
lapras,Ice Shard
lapras,Dragon Pulse
lapras,Ice Beam
eevee,Last Resort
eevee,Body Slam
vaporeon,Last Resort
vaporeon,Scald
jolteon,Last Resort
jolteon,Zap Cannon
flareon,Last Resort
flareon,Heat Wave
flareon,Superpower
porygon,Tackle
porygon,Zen Headbutt
porygon,Signal Beam
porygon,Psybeam
porygon,Discharge
omanyte,Rock Tomb
omanyte,Brine
omastar,Rock Throw
omastar,Rock Slide
kabutops,Fury Cutter
snorlax,Yawn
articuno,Hurricane
zapdos,Thunder Shock
moltres,Sky Attack
dragonite,Draco Meteor
